Episode,Reward
0,-1111.3000631183386
1,-1212.3000478614122
2,-1137.3000446539372
3,-605.1850612172857
4,-902.8000543313101
5,-1013.9000394009054
6,-762.000028626062
7,310.09991935640574
8,-424.1500735254958
9,-921.8000354329124
10,-792.300030104816
11,163.48989341873676
12,1690.2798400884494
13,-138.4800806697458
14,-496.11505681835115
15,-98.52005957067013
16,-1069.3000417351723
17,412.08492254279554
18,485.3549069063738
19,752.6098989658058
20,-561.7400597883388
21,651.9848934710026
22,-258.72006631456316
23,-222.62006499804556
24,2036.9198354613036
25,-264.05006670579314
26,-486.09003694634885
27,1039.864890630357
28,3619.779746939428
29,573.0498908013105
30,88.79992920160294
31,-289.570067438297
32,1058.7948719486594
33,1161.7498765215278
34,1335.3199020661414
35,1603.9498368566856
36,-276.5300864269957
37,180.89989371132106
38,826.1948821246624
39,1633.79983850196
40,1719.0698605310172
41,2721.72480633948
42,-374.81005187146366
43,743.3599166916683
44,924.6898668073118
45,2813.3847903264686
46,3669.774710668251
47,277.3049172507599
48,1162.3649143073708
49,845.43990221899
50,370.91490225773305
51,-184.51008233521134
52,907.0098848389462
53,1912.9148501232266
54,782.5098805595189
55,388.4049401925877
56,1830.6948274336755
57,2159.9848587559536
58,410.0699031576514
59,1388.3498671744019
60,-471.31503641046584
61,1697.9098412226886
62,2448.319832651876
63,2298.3398074824363
64,1165.5098951160908
65,2112.4898192184046
66,436.6149242883548
67,1558.8798732291907
68,1157.394913740456
69,125.53491140156984
70,3872.9547187276185
71,2112.1348189692944
72,-1016.9000394903123
73,966.1049061464146
74,-198.105025771074
75,1512.5748901423067
76,3815.3047550832853
77,2843.3597915545106
78,1403.7549045803025
79,3019.2497798502445
80,3601.764746724628
81,94.59492853842676
82,1798.1498259175569
83,-386.6650523459539
84,1616.949856594205
85,1356.2548462161794
86,-675.7300448026508
87,1170.5698955478147
88,1346.1298833098263
89,248.36489651817828
90,2752.454788863659
91,3507.589761355892
92,1057.4949096292257
93,4306.3897178461775
94,2618.234821160324
95,3811.61475486774
96,2491.4298153556883
97,1902.5098304264247
98,1035.7799088628963
99,3255.069770818576
100,2926.334776425734
101,3674.864749393426
102,3763.124772526324
103,398.724921958521
104,3010.6397996069863
105,2771.2797892279923
106,31.259945202618837
107,3076.739763560705
108,3860.824738284573
109,296.40491830557585
110,4897.809721047059
111,1189.1248965924606
112,477.2799625052139
113,3434.164759138599
114,1679.4848785698414
115,4402.584741140716
116,4565.689728804864
117,4604.839730648324
118,4929.539722256362
119,1656.1148585435003
120,113.63496772199869
121,1250.7699175588787
122,124.76494946237653
123,2192.5798604693264
124,635.1399498619139
125,3985.2847434980795
126,771.1599370492622
127,623.579912009649
128,4452.834723911248
129,2929.484813781455
130,1003.20990906097
131,164.4849507631734
132,957.6249246476218
133,2468.7098159920424
134,-515.9950573388487
135,-217.42004500795156
136,-83.4850585386157
137,2084.0648559248075
138,1785.0448447382078
139,1027.3249085247517
140,1054.3799288040027
141,3477.809778995812
142,4023.534743903205
143,4929.569722204469
144,4093.8197285225615
145,4449.35972450953
146,3839.5597566710785
147,1032.4899283442646
148,3481.6047789696604
149,4488.499725420028
150,4691.4847318306565
151,4476.409725505859
152,-571.6250217957422
153,4064.759766275063
154,1223.474897654727
155,4537.799728599377
156,1519.604890360497
157,553.1599287586287
158,4508.764727059752
159,2197.5398604068905
160,924.4549425188452
161,1346.7549012107775
162,4963.689723582938
163,3515.8047806294635
164,4270.314736071043
165,3488.119760471396
166,4329.999739264138
167,2446.2248328570276
168,4479.814725949429
169,3196.964786895551
170,2774.524827110581
171,4397.589741727337
172,4023.544763474725
173,2267.8598633166403
174,3462.784797105938
175,743.4349540937692
176,1858.6248846659437
177,4589.424730485305
178,3011.504816870205
179,4372.734740905464
180,3393.3997771292925
181,4224.299751698971
182,4105.024748261087
183,3640.4747664052993
184,3281.564790817909
185,2712.5998243056238
186,3295.679809545167
187,2802.8498274367303
188,4565.144729487598
189,4833.184718967415
190,4812.584718714468
191,4872.789720347151
192,4654.084730971605
193,3841.804774074815
194,3846.3147746520117
195,2420.9048509327695
196,3689.7197506567463
197,3434.4447965240106
198,3606.7847835980356
199,3886.269758959301
200,1239.044917379506
201,4571.799730000086
202,4080.2997663877904
203,3850.9147763848305
204,2033.4298731116578
205,4102.644746811129
206,2751.354825953953
207,2449.89985200949
208,2531.1548544429243
209,1918.1898876233026
210,2292.9948642710224
211,4199.424753104337
212,2655.0648409891874
213,4193.274752710015
214,4420.7897428656
215,4554.749728437513
216,4297.449756996706
217,3102.509820307605
218,4966.624724233523
219,2117.9498761622235
220,4383.739741393365
221,3261.4648082274944
222,4869.604720626958
223,4347.809756967239
224,3135.114822288044
225,4471.4997448837385
226,4275.604756370187
227,2317.0898653585464
228,3967.864762294106
229,3821.0897733112797
230,4430.52474125661
231,4162.079750560224
232,1924.8198877489194
233,3690.489786915481
234,2848.5598292620853
235,3398.4847942190245
236,2706.6548427715898
237,4883.809721077792
238,4486.854743367992
239,3151.29480391182
240,2650.839840788394
241,4901.439721860923
242,4158.139750256203
243,3565.3647832246497
244,2442.229851199314
245,4808.19971850235
246,3017.539817773737
247,4238.749751965515
248,3148.8448224412277
249,3279.7348093446344
250,4769.824735127389
251,1508.844908932224
252,4072.5097649395466
253,4936.094722974114
254,4708.439734845422
255,3064.4948195228353
256,4853.379721716978
257,4378.444740566425
258,2936.769833018072
259,4439.754743483849
260,4787.059735715389
261,4430.4697429947555
262,3525.4197994926944
263,4238.204753882252
264,2751.8098430261016
265,4936.304722994566
266,3350.784811526537
267,2555.4248563600704
268,4655.034733029082
269,3306.894808407873
270,4684.139734453522
271,4506.319744439796
272,2545.91485523805
273,4967.484723843634
274,2549.1498553939164
275,4721.7097344156355
276,4632.064731190912
277,3921.7347777476534
278,4707.879732968286
279,4496.174744467251
280,2964.11983441934
281,4957.289723506197
282,2162.299877723679
283,4111.129766273312
284,3882.3697765776888
285,3107.0598207134753
286,1758.7398998541757
287,4290.474754619412
288,4466.004743297584
289,4483.654743752442
290,3119.7298211678863
291,3294.43981030304
292,2700.784842433408
293,3117.4098222134635
294,3298.964809982106
295,4766.689734850079
296,3690.7047869712114
297,4339.854756195098
298,4489.789743123576
299,4534.059745284729
300,3364.704810827039
301,3877.074776242487
302,4544.994744983502
303,2896.499832115136
304,4978.414724270813
305,1685.2398971058428
306,4310.329755505547
307,1901.134886954911
308,3459.584798777476
309,4336.959756416269
310,4668.614732872695
311,3833.8697749925777
312,2477.409852865152
